Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,neon,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,waylay,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,cypher,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,killjoy,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,sage,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,tejo,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,kayo,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,breach,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,chamber,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,astra,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,jett,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,iso,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,harbor,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,gekko,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,reyna,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,skye,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,clove,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,omen,75%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,yoru,75%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,viper,75%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,sova,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,vyse,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,fade,75%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,raze,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,neon,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,waylay,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,cypher,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,killjoy,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,sage,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,tejo,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,kayo,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,breach,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,chamber,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,astra,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,jett,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,iso,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,harbor,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,gekko,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,reyna,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,skye,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,clove,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,omen,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,yoru,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,viper,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,sova,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,vyse,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,fade,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,raze,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,neon,75%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,waylay,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,cypher,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,killjoy,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,sage,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,tejo,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,kayo,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,breach,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,chamber,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,astra,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,jett,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,iso,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,harbor,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,gekko,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,reyna,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,skye,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,clove,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,omen,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,yoru,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,viper,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,sova,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,vyse,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,fade,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,raze,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,neon,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,waylay,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,cypher,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,killjoy,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,sage,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,tejo,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,kayo,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,breach,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,chamber,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,astra,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,jett,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,iso,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,harbor,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,gekko,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,reyna,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,skye,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,clove,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,omen,75%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,viper,67%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,sova,58%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,yoru,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,fade,42%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,killjoy,33%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,waylay,25%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,vyse,25%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,kayo,25%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,raze,25%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,astra,17%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,neon,17%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,harbor,8%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,jett,8%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,brimstone,8%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,tejo,8%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,cypher,8%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,skye,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,chamber,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,sage,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,reyna,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,clove,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,breach,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,iso,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,gekko,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,omen,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,viper,75%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,sova,75%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,yoru,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,fade,25%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,killjoy,75%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,waylay,25%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,vyse,25%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,kayo,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,raze,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,astra,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,neon,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,harbor,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,jett,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,tejo,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,cypher,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,skye,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,chamber,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,sage,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,reyna,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,clove,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,breach,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,iso,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,gekko,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,omen,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,viper,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,sova,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,yoru,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,fade,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,killjoy,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,waylay,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,vyse,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,kayo,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,raze,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,astra,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,neon,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,harbor,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,jett,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,tejo,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,cypher,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,skye,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,chamber,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,sage,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,reyna,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,clove,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,breach,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,iso,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,gekko,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,omen,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,viper,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,sova,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,yoru,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,fade,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,killjoy,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,waylay,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,vyse,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,kayo,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,raze,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,astra,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,neon,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,harbor,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,jett,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,brimstone,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,tejo,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,cypher,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,skye,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,chamber,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,sage,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,reyna,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,clove,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,breach,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,iso,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,gekko,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,omen,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,viper,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,sova,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,yoru,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,fade,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,killjoy,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,waylay,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,vyse,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,kayo,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,raze,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,astra,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,neon,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,harbor,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,jett,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,tejo,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,cypher,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,skye,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,chamber,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,sage,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,reyna,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,clove,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,breach,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,iso,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,gekko,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,omen,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,viper,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,sova,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,yoru,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,fade,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,killjoy,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,waylay,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,vyse,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,kayo,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,raze,100%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,astra,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,neon,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,harbor,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,jett,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,tejo,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,cypher,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,skye,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,chamber,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,sage,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,reyna,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,clove,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,breach,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,iso,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,gekko,0%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,sova,100%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,vyse,75%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,omen,75%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,yoru,50%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,jett,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,waylay,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,sage,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,breach,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,kayo,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,astra,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,harbor,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,cypher,25%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,iso,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,chamber,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,viper,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,tejo,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,clove,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,skye,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,reyna,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,raze,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,neon,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,fade,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,gekko,0%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,killjoy,0%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,sova,100%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,vyse,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,omen,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,yoru,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,jett,0%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,waylay,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,sage,0%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,breach,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,kayo,0%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,astra,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,harbor,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,cypher,50%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,iso,0%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,chamber,0%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,viper,0%
