tournament,stage,match_type,match_name,map,elimination,detonated,defused,time_expiry_no_plant,eliminated,defused_failed,detonation_denied,time_expiry_failed_to_plant,team_id
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Bind,5,0,2,0,7,3,3,0,474
VCT 2025: China Kickoff,Main Event,Upper Final,Bilibili Gaming vs Trace Esports,Haven,12,0,1,0,10,0,0,0,12010
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Sunset,8,1,4,0,8,0,3,0,11058
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Sunset,9,1,1,2,7,1,1,0,11058
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Bind,5,1,4,3,5,0,2,1,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Ascent,6,1,2,0,11,2,0,0,466
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Haven,3,0,0,0,11,2,0,0,918
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Lotus,10,0,2,1,7,1,1,0,5448
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Bind,3,2,1,0,10,0,3,0,14
VCT 2025: China Stage 2,Group Stage,Week 4,All Gamers vs FunPlus Phoenix,Icebox,10,0,4,0,3,5,4,0,1119
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Xi Lai Gaming vs Dragon Ranger Gaming,Bind,2,1,2,0,4,1,7,1,11981
Valorant Masters Toronto 2025,Playoffs,Upper Final,Paper Rex vs Wolves Esports,Ascent,6,1,1,0,10,0,2,1,13790
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Pearl,7,1,2,0,11,2,0,0,2593
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,Icebox,7,2,3,1,4,2,2,0,17
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Split,1,0,0,0,11,0,2,0,120
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Bind,9,2,2,0,3,2,2,0,17
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,Bind,10,1,2,0,6,2,1,0,120
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,Haven,7,1,3,2,6,0,1,0,2406
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Ascent,11,0,2,0,4,5,2,0,624
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Lotus,9,3,1,0,0,0,3,0,14419
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,Haven,7,4,2,0,1,0,2,1,
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Lotus,2,0,0,0,5,1,6,1,120
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Lotus,6,3,4,0,5,3,3,0,188
VCT 2025: China Stage 2,Group Stage,Week 1,Wolves Esports vs FunPlus Phoenix,Sunset,7,1,5,0,3,2,0,0,11328
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,10,1,2,0,6,2,1,1,12010
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,Fracture,6,1,0,0,9,2,2,0,2059
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Pearl,6,1,2,1,8,0,2,3,6199
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,Pearl,3,0,0,0,9,0,3,1,8304
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Ascent,10,0,2,1,5,0,3,1,2
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Haven,9,2,1,1,8,0,1,0,11058
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Evil Geniuses vs MIBR,Abyss,8,1,1,0,8,3,2,0,5248
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,Bind,11,0,0,2,5,3,3,0,624
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,Haven,7,3,3,0,7,1,0,0,12010
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,BBL Esports vs FUT Esports,Haven,7,1,3,1,9,2,2,1,397
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,Pearl,8,1,3,1,4,1,2,0,17
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,Fracture,12,1,0,0,6,2,0,0,12010
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Evil Geniuses vs MIBR,Abyss,8,3,2,0,8,1,1,0,7386
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Trace Esports vs Dragon Ranger Gaming,Pearl,4,1,3,0,10,1,2,0,11981
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,8,2,2,1,6,1,3,1,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,Icebox,10,1,1,1,1,0,3,0,8185
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Lotus,8,1,1,0,6,3,4,0,2593
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Icebox,6,3,3,0,10,1,3,0,4915
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Ascent,10,1,1,1,8,0,0,1,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Lotus,2,0,0,0,9,3,1,0,8304
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Corrode,6,2,4,1,3,4,1,0,8185
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Bind,10,0,2,1,2,1,1,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Bind,6,3,1,0,5,4,3,1,6961
VCT 2025: Pacific Stage 2,Group Stage,Week 1,ZETA DIVISION vs DetonatioN FocusMe,Lotus,10,3,0,0,0,0,0,1,5448
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,Bind,11,0,2,0,3,0,3,0,8304
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,Haven,9,3,1,0,9,0,0,0,8304
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,Split,9,2,1,1,7,2,0,1,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,Lotus,9,2,1,1,2,0,0,0,8877
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Fracture,7,5,1,0,0,0,2,0,624
VCT 2025: China Stage 1,Group Stage,Week 1,FunPlus Phoenix vs Titan Esports Club,Icebox,13,0,0,0,5,0,0,0,11328
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,Pearl,8,0,2,3,2,0,2,0,12010
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Split,7,0,3,0,5,5,2,1,7386
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Haven,5,0,0,0,7,1,4,1,474
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Haven,8,2,3,0,11,1,3,0,14
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Corrode,7,1,2,1,9,0,3,1,474
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,Sunset,11,0,2,0,6,0,0,0,14
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,Icebox,8,1,2,2,3,0,0,0,12685
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,Icebox,8,3,2,0,3,0,1,0,8185
VCT 2025: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs All Gamers,Lotus,7,2,3,1,2,1,3,1,13581
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Fracture,4,1,1,2,8,1,3,1,474
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,5,2,3,0,7,1,2,3,474
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Corrode,7,3,1,0,9,3,1,0,8185
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Ascent,6,3,3,1,6,0,2,0,2593
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Icebox,8,0,3,2,6,1,3,1,6961
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Bind,7,3,3,0,4,2,1,1,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,Bind,12,1,2,0,12,1,0,0,2593
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Bind,10,0,2,1,7,0,3,1,4915
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Ascent,6,1,3,0,9,2,1,1,6199
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,6,3,4,0,6,2,2,0,878
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,Lotus,8,3,2,0,3,0,0,0,731
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,Haven,9,0,4,0,1,0,0,0,17
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Pearl,4,1,0,0,9,0,3,1,731
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,Split,2,3,3,0,9,2,2,0,2359
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Pearl,2,0,4,0,6,0,6,1,15072
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Ascent,7,0,5,1,8,0,2,1,2
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,8,1,3,1,3,0,2,0,14
VCT 2025: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs Xi Lai Gaming,Bind,10,0,0,0,10,2,0,1,13581
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Sunset,4,1,2,0,9,2,2,0,878
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Lotus,2,1,1,0,6,1,5,1,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,10,1,1,1,8,1,1,0,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,Bind,2,2,0,0,8,1,4,0,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Corrode,8,3,1,1,8,1,1,0,14
VCT 2025: China Stage 2,Group Stage,Week 1,All Gamers vs Xi Lai Gaming,Sunset,3,0,0,0,12,0,1,0,13581
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,Ascent,10,1,0,2,3,2,0,1,12685
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Liquid vs Karmine Corp,Split,0,0,0,0,0,0,0,0,8877
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,Split,11,0,2,0,0,1,0,0,12685
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Icebox,4,2,1,0,11,1,1,0,13790
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Bind,6,6,1,0,1,0,1,0,8877
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Pearl,9,0,1,1,7,0,6,0,474
VCT 2025: China Kickoff,Main Event,Upper Round 1,JDG Esports vs Dragon Ranger Gaming,Abyss,1,0,3,1,9,0,4,0,13576
VCT 2025: China Kickoff,Main Event,Lower Round 3,FunPlus Phoenix vs Dragon Ranger Gaming,Haven,7,0,0,0,12,0,1,0,11328
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Abyss,6,1,3,0,6,3,4,0,13581
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Ascent,5,0,3,0,8,3,2,0,15072
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Corrode,8,2,3,1,5,3,4,0,2406
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,6,2,1,1,10,1,2,0,474
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,7,3,2,0,9,2,3,0,17
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Lotus,6,2,5,0,3,2,0,0,1184
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Icebox,7,1,3,0,10,1,2,0,2593
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,Lotus,4,2,0,0,9,1,1,2,12064
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Icebox,9,2,2,0,9,0,2,0,5248
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Bind,8,2,0,1,8,3,2,0,474
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Abyss,7,1,5,0,5,2,1,0,2355
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Trace Esports vs EDward Gaming,Lotus,7,0,2,4,4,0,0,0,12685
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Lotus,8,2,3,0,2,0,2,0,624
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,Bind,2,2,0,0,9,0,3,1,5248
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Haven,4,0,0,0,10,0,1,2,12694
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Corrode,7,1,1,0,8,0,5,0,6199
VCT 2025: China Stage 2,Group Stage,Week 2,FunPlus Phoenix vs Nova Esports,Ascent,9,1,3,0,6,1,1,0,11328
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,3,2,1,0,7,1,1,4,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,Split,9,0,1,3,0,0,0,0,4915
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,Split,6,2,5,0,5,0,1,0,1184
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Haven,9,2,4,0,12,1,3,1,17
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Pearl,7,1,2,0,8,1,2,2,878
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Haven,10,0,2,1,4,0,1,0,2059
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Bind,5,2,1,1,6,4,3,0,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,5,0,2,0,9,3,1,0,12694
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Lotus,6,0,0,0,10,2,1,0,474
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,6,0,4,0,6,1,5,1,11058
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Lotus,4,2,2,2,10,2,1,0,14419
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Lotus,2,0,2,0,8,2,3,0,1001
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Lotus,8,2,3,0,6,2,1,0,11060
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,Haven,9,0,0,0,9,3,1,0,8185
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Bind,10,0,3,0,3,2,1,0,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Haven,11,1,1,0,7,3,5,0,14
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,Icebox,11,0,2,0,7,0,3,0,12694
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Split,9,2,1,1,7,1,1,1,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,Lotus,7,1,5,0,5,0,3,0,878
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Lotus,10,0,3,0,5,0,2,0,624
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Icebox,10,0,3,0,8,1,2,0,878
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Fracture,6,1,1,1,12,1,0,0,11981
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Haven,4,3,1,0,10,1,2,0,12685
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Fracture,11,0,2,0,5,0,2,1,474
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Split,9,0,2,2,3,2,0,0,8304
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Corrode,4,0,5,1,9,1,2,1,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Ascent,2,0,1,0,11,0,2,0,7035
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,Haven,7,1,4,1,5,1,0,1,878
VCT 2025: China Stage 2,Group Stage,Week 2,FunPlus Phoenix vs Nova Esports,Bind,10,1,2,0,4,1,0,1,11328
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,Sunset,10,1,1,1,3,0,4,0,474
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Haven,9,3,0,0,10,2,2,0,474
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Split,3,3,0,0,9,1,2,1,5448
VCT 2025: China Kickoff,Main Event,Lower Round 2,JDG Esports vs Xi Lai Gaming,Bind,0,0,4,0,7,4,2,0,13576
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Abyss,10,1,2,0,4,3,2,1,8185
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Ascent,4,1,1,0,8,1,3,1,4915
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Haven,3,5,2,0,6,4,3,0,1119
VCT 2025: China Stage 2,Group Stage,Week 4,EDward Gaming vs JDG Esports,Haven,11,0,2,0,4,4,1,1,1120
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,Ascent,8,2,2,1,4,1,0,0,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Split,10,1,5,2,10,1,4,1,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Haven,10,1,2,0,6,1,2,1,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Lotus,5,0,2,0,10,0,3,0,278
VCT 2025: China Stage 1,Group Stage,Week 4,All Gamers vs JDG Esports,Pearl,2,2,0,0,9,0,3,1,1119
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Pearl,6,0,1,0,9,1,3,0,2355
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Lotus,9,1,3,0,8,3,0,0,6961
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Pearl,8,2,3,0,5,2,2,0,2
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Lotus,8,1,2,0,7,2,4,0,8185
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Corrode,7,1,0,0,7,2,4,0,14
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Lotus,3,1,3,0,10,0,2,1,5248
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Corrode,8,2,3,1,11,1,4,0,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Bind,11,0,4,0,10,2,0,1,8877
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Bind,1,3,1,0,7,1,3,2,918
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,Bind,9,1,2,1,6,1,3,1,8185
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Lotus,5,5,2,1,6,3,0,0,2
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Pearl,1,0,4,0,8,0,4,1,8304
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Icebox,9,0,4,0,5,1,1,1,624
VCT 2025: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs All Gamers,Lotus,2,1,3,1,7,2,3,1,1119
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Fracture,12,1,0,0,6,1,1,1,14137
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Lotus,8,1,3,1,7,0,4,0,12010
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Icebox,2,1,0,0,4,1,8,0,2406
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Abyss,2,1,0,0,9,1,3,0,12685
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Haven,3,1,0,0,6,1,5,1,1184
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Abyss,10,3,0,0,5,4,1,0,7386
VCT 2025: China Kickoff,Main Event,Lower Round 2,JDG Esports vs Xi Lai Gaming,Pearl,2,3,3,1,5,2,5,1,13581
VCT 2025: China Kickoff,Main Event,Lower Round 4,Dragon Ranger Gaming vs EDward Gaming,Pearl,11,0,2,0,8,0,0,1,1120
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Sunset,2,0,0,0,9,0,4,0,7035
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,Ascent,2,0,0,0,10,0,2,1,397
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,Corrode,5,1,0,0,13,0,0,0,17
VCT 2025: China Stage 2,Group Stage,Week 3,Wolves Esports vs Dragon Ranger Gaming,Lotus,7,1,4,0,9,0,5,0,11981
VCT 2025: China Stage 2,Playoffs,Lower Round 3,EDward Gaming vs Xi Lai Gaming,Corrode,2,1,2,0,10,1,2,0,13581
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,Split,10,0,3,0,5,3,0,0,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 2,DRX vs DetonatioN FocusMe,Lotus,2,1,0,0,11,0,2,0,278
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Gen.G vs DetonatioN FocusMe,Fracture,10,0,2,1,3,1,0,0,17
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Lotus,2,1,1,1,9,1,3,0,14
VCT 2025: China Stage 1,Group Stage,Week 1,TYLOO vs EDward Gaming,Fracture,5,0,2,0,12,0,1,0,731
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Ascent,10,0,2,1,4,0,0,0,2359
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Icebox,5,0,3,1,5,3,5,0,120
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,3,0,2,0,8,1,3,1,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,9,2,2,0,6,1,3,0,14419
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Haven,7,3,3,0,7,1,1,0,14
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,NRG vs Cloud9,Fracture,5,6,2,1,9,2,1,0,188
