tournament,stage,match_type,match_name,action,map,team_id
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,ban,Haven,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,pick,Ascent,8185
VCT 2025: China Stage 2,Group Stage,Week 1,JDG Esports vs Trace Esports,ban,Corrode,12685
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs Bilibili Gaming,ban,Corrode,12010
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,ban,Haven,731
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,ban,Split,1001
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,pick,Lotus,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,ban,Ascent,4915
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,pick,Haven,466
VCT 2025: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs All Gamers,ban,Haven,13581
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,ban,Fracture,7386
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,ban,Ascent,2359
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,ban,Fracture,7386
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,pick,Bind,2059
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs 2Game Esports,ban,Pearl,2355
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,LOUD vs Sentinels,ban,Abyss,6961
VCT 2025: China Kickoff,Main Event,Lower Round 1,Xi Lai Gaming vs All Gamers,ban,Pearl,1119
VCT 2025: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs Xi Lai Gaming,ban,Fracture,13581
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,ban,Icebox,5248
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,pick,Bind,466
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,pick,Ascent,6199
VCT 2025: China Stage 2,Group Stage,Week 1,Wolves Esports vs FunPlus Phoenix,pick,Corrode,13790
VCT 2025: China Stage 2,Playoffs,Upper Final,Dragon Ranger Gaming vs Bilibili Gaming,pick,Lotus,11981
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,ban,Pearl,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,ban,Icebox,278
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,ban,Ascent,17
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,ban,Split,8304
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,ban,Haven,13581
VCT 2025: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,ban,Split,11981
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,pick,Fracture,12010
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,ban,Bind,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,ban,Abyss,2593
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,pick,Haven,2059
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,pick,Abyss,878
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,ban,Lotus,
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,ban,Ascent,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,pick,Ascent,11058
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,ban,Ascent,2
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,ban,Ascent,120
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,ban,Bind,17
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,pick,Icebox,878
VCT 2025: China Stage 2,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,pick,Icebox,12064
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,ban,Pearl,1184
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,ban,Pearl,8185
VCT 2025: China Stage 1,Group Stage,Week 2,Wolves Esports vs Trace Esports,ban,Split,13790
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,ban,Haven,
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,pick,Split,11058
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,pick,Haven,12694
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,pick,Pearl,5248
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,pick,Lotus,188
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,pick,Corrode,474
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,ban,Abyss,14419
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,pick,Haven,
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,ban,Bind,397
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,pick,Ascent,6199
VCT 2025: China Stage 2,Group Stage,Week 4,Trace Esports vs Titan Esports Club,ban,Bind,12685
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Wolves Esports,ban,Sunset,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,pick,Pearl,397
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,pick,Ascent,14419
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,pick,Split,624
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,pick,Fracture,120
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,pick,Icebox,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,pick,Pearl,14
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,ban,Bind,2359
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,ban,Abyss,2359
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Bilibili Gaming vs Xi Lai Gaming,ban,Pearl,13581
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,pick,Ascent,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,ban,Corrode,397
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,pick,Bind,4915
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Paper Rex vs DetonatioN FocusMe,ban,Ascent,624
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,ban,Icebox,14
VCT 2025: China Stage 2,Group Stage,Week 1,All Gamers vs Xi Lai Gaming,pick,Lotus,1119
VCT 2025: China Stage 2,Group Stage,Week 4,EDward Gaming vs JDG Esports,ban,Icebox,1120
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,ban,Icebox,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,ban,Lotus,397
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,pick,Pearl,12685
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,ban,Haven,2355
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,pick,Icebox,2355
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,pick,Lotus,7035
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,ban,Abyss,11060
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,ban,Fracture,2355
VCT 2025: China Kickoff,Main Event,Lower Round 2,JDG Esports vs Xi Lai Gaming,ban,Lotus,13576
VCT 2025: China Kickoff,Main Event,Lower Round 3,FunPlus Phoenix vs Dragon Ranger Gaming,pick,Pearl,11328
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,ban,Ascent,
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,pick,Ascent,15072
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,pick,Haven,11058
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,ban,Sunset,
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,ban,Haven,188
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,ban,Corrode,6961
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,ban,Sunset,188
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,ban,Bind,397
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,ban,Icebox,466
VCT 2025: China Stage 2,Group Stage,Week 4,Bilibili Gaming vs EDward Gaming,ban,Ascent,12010
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,pick,Split,624
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Liquid vs KOI,ban,Ascent,474
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,ban,Pearl,14
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,ban,Fracture,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,ban,Pearl,466
VCT 2025: China Stage 1,Group Stage,Week 2,Nova Esports vs EDward Gaming,pick,Fracture,1120
VCT 2025: China Stage 1,Group Stage,Week 2,Wolves Esports vs Trace Esports,pick,Pearl,13790
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,pick,Bind,1120
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,pick,Abyss,397
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,ban,Bind,11981
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,pick,Abyss,
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,pick,Haven,14419
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Xi Lai Gaming,ban,Lotus,12064
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Sentinels vs FNATIC,ban,Lotus,2593
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,ban,Haven,624
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,pick,Split,12694
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,pick,Lotus,
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,pick,Bind,14
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,pick,Lotus,5448
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,KRÜ Esports vs LOUD,ban,Fracture,6961
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,ban,Corrode,2593
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,pick,Bind,2359
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,ban,Ascent,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,ban,Lotus,878
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,ban,Split,2
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,ban,Split,11058
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,pick,Icebox,7035
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs Natus Vincere,ban,Split,2059
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,pick,Haven,17
VCT 2025: China Stage 1,Group Stage,Week 1,FunPlus Phoenix vs Titan Esports Club,ban,Split,14137
VCT 2025: Americas Stage 1,Group Stage,Week 2,Sentinels vs KRÜ Esports,ban,Haven,2355
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,ban,Haven,624
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,ban,Corrode,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,pick,Ascent,2593
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,ban,Ascent,4915
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Team Liquid vs GIANTX,ban,Haven,474
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Nongshim RedForce vs Global Esports,pick,Corrode,918
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs Bilibili Gaming,ban,Sunset,14137
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,pick,Split,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,ban,Ascent,7035
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,ban,Lotus,397
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,BBL Esports vs FUT Esports,pick,Split,1184
VCT 2025: Pacific Stage 1,Group Stage,Week 2,T1 vs Nongshim RedForce,pick,Split,11060
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,ban,Icebox,624
VCT 2025: China Stage 1,Group Stage,Week 2,TYLOO vs FunPlus Phoenix,pick,Pearl,731
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,ban,Haven,12064
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,ban,Fracture,11058
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,ban,Bind,11058
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,pick,Pearl,11479
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,ban,Pearl,120
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,ban,Ascent,120
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,ban,Ascent,2059
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,ban,Sunset,8185
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,pick,Sunset,878
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,ban,Lotus,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,pick,Haven,12694
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,ban,Split,14419
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,pick,Split,474
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,pick,Fracture,8185
VCT 2025: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,ban,Ascent,12064
VCT 2025: Americas Stage 1,Group Stage,Week 2,LOUD vs 2Game Esports,ban,Icebox,15072
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,ban,Haven,11058
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,ban,Fracture,2355
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,pick,Lotus,11058
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,pick,Haven,474
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,ban,Haven,11060
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,pick,Split,11058
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,ban,Corrode,15072
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,ban,Sunset,5248
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,ban,Ascent,7386
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,ban,Icebox,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,ban,Icebox,8877
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,pick,Lotus,278
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,pick,Bind,624
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs JDG Esports,ban,Ascent,14137
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,ban,Split,1001
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,pick,Split,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,pick,Split,11479
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Natus Vincere,ban,Icebox,4915
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,pick,Icebox,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,pick,Icebox,878
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,pick,Fracture,11328
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,pick,Lotus,2
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,ban,Abyss,7035
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,pick,Lotus,17
VCT 2025: China Kickoff,Main Event,Lower Round 1,Dragon Ranger Gaming vs TYLOO,ban,Fracture,11981
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,pick,Corrode,11058
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,ban,Lotus,918
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,pick,Lotus,624
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,ban,Icebox,14
VCT 2025: China Stage 2,Group Stage,Week 1,EDward Gaming vs Titan Esports Club,ban,Bind,1120
VCT 2025: China Stage 2,Group Stage,Week 2,FunPlus Phoenix vs Nova Esports,ban,Sunset,12064
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Liquid vs FUT Esports,ban,Ascent,1184
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,ban,Haven,624
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,ban,Lotus,2359
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,ban,Icebox,188
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,ban,Icebox,11058
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,100 Thieves vs NRG,ban,Split,
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,ban,Fracture,2355
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,ban,Icebox,11058
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,ban,Bind,
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,ban,Corrode,11060
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,ban,Split,397
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,ban,Icebox,2406
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,ban,Fracture,2406
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,ban,Pearl,188
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,ban,Fracture,14
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,pick,Fracture,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,ban,Pearl,474
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,pick,Lotus,7386
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,FunPlus Phoenix vs Titan Esports Club,ban,Haven,14137
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Bilibili Gaming vs Xi Lai Gaming,ban,Fracture,13581
VCT 2025: China Kickoff,Main Event,Lower Round 2,JDG Esports vs Xi Lai Gaming,ban,Abyss,13581
VCT 2025: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs Xi Lai Gaming,ban,Pearl,13581
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,ban,Ascent,474
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,ban,Bind,878
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,pick,Corrode,7386
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,pick,Lotus,624
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,ban,Corrode,1001
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs Bilibili Gaming,ban,Icebox,12010
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,ban,Fracture,1001
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,BOOM Esports vs Paper Rex,ban,Pearl,624
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,pick,Split,12064
VCT 2025: China Stage 1,Group Stage,Week 5,JDG Esports vs Xi Lai Gaming,ban,Split,13581
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,pick,Pearl,12010
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,ban,Ascent,7386
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,ban,Fracture,2
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,ban,Fracture,918
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,ban,Haven,474
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,ban,Bind,188
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,ban,Bind,11479
VCT 2025: China Stage 2,Group Stage,Week 1,All Gamers vs Xi Lai Gaming,ban,Icebox,1119
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,pick,Split,474
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,ban,Fracture,918
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,ban,Lotus,6961
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,ban,Fracture,15072
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,pick,Lotus,11060
VCT 2025: China Kickoff,Main Event,Upper Round 1,Xi Lai Gaming vs Wolves Esports,ban,Pearl,13581
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Bilibili Gaming vs FunPlus Phoenix,ban,Pearl,12010
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,pick,Ascent,2593
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,pick,Sunset,2
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,pick,Bind,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,ban,Haven,397
VCT 2025: China Stage 2,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,pick,Lotus,11981
