tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker_score,team_a_defender_score,team_a_overtime_score,team_b,team_b_score,team_b_attacker_score,team_b_defender_score,team_b_overtime_score,duration
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Lotus,Paper Rex,13,8,5,0,Team Heretics,4,0,4,0,35:08
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Haven,LEVIATÁN,13,2,11,0,Cloud9,10,0,10,0,53:10
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Ascent,GIANTX,13,9,4,0,Natus Vincere,6,3,3,0,39:54
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Sunset,Paper Rex,7,3,4,0,ZETA DIVISION,13,4,9,0,41:16
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Wolves Esports,Corrode,Nova Esports,13,8,5,0,Wolves Esports,6,2,4,0,37:07
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Haven,Dragon Ranger Gaming,8,3,5,0,Bilibili Gaming,13,4,9,0,53:27
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,Lotus,Gen.G,13,8,5,0,Rex Regum Qeon,5,1,4,0,56:41
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,Lotus,Nongshim RedForce,13,6,7,0,BOOM Esports,9,3,6,0,52:11
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Haven,T1,5,5,0,0,Gen.G,13,6,7,0,43:00
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,NRG vs Cloud9,Lotus,Mega Minors,10,6,4,0,Cloud9,13,7,6,0,56:46
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,Ascent,Mega Minors,13,10,3,0,LEVIATÁN,2,0,2,0,46:31
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Bind,FUT Esports,7,5,2,0,Team Heretics,13,6,7,0,47:01
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,Bind,BBL Esports,6,5,1,0,GIANTX,13,6,7,0,40:32
VCT 2025: China Stage 2,Group Stage,Week 2,Dragon Ranger Gaming vs All Gamers,Sunset,Dragon Ranger Gaming,13,5,8,0,All Gamers,10,3,7,0,51:40
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Vitality vs Apeks,Lotus,Team Vitality,13,3,10,0,Apeks,10,1,9,0,58:49
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,Haven,DRX,13,6,7,0,Sentinels,10,4,6,0,50:13
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Lotus,Nongshim RedForce,22,7,5,10,Rex Regum Qeon,20,7,5,8,1:32:19
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Lotus,TALON,9,5,4,0,Nongshim RedForce,13,6,7,0,1:02:09
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,Corrode,100 Thieves,13,8,5,0,KRÜ Esports,4,0,4,0,45:15
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,Haven,T1,15,2,10,3,Paper Rex,17,2,10,5,1:21:18
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Ascent,MIBR,8,6,2,0,G2 Esports,13,7,6,0,44:37
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Corrode,Global Esports,13,9,4,0,Team Secret,9,6,3,0,49:46
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs JDG Esports,Sunset,Titan Esports Club,11,3,8,0,JDG Esports,13,4,9,0,53:38
VCT 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,Haven,BOOM Esports,13,8,5,0,Global Esports,11,7,4,0,49:21
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,Lotus,Xi Lai Gaming,13,7,6,0,Nova Esports,6,1,5,0,54:04
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,Icebox,EDward Gaming,8,3,5,0,Bilibili Gaming,13,4,9,0,44:30
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Icebox,KRÜ Esports,13,6,7,0,100 Thieves,9,3,6,0,50:50
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Haven,T1,13,6,7,0,Trace Esports,8,2,6,0,42:04
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Bind,T1,13,9,4,0,Gen.G,10,7,3,0,55:35
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Bind,Natus Vincere,13,9,4,0,Team Vitality,11,8,3,0,57:26
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,Bind,Rex Regum Qeon,12,6,6,0,DRX,14,6,6,2,1:09:59
VCT 2025: China Stage 2,Group Stage,Week 4,Dragon Ranger Gaming vs Xi Lai Gaming,Lotus,Dragon Ranger Gaming,13,11,2,0,Xi Lai Gaming,6,5,1,0,38:09
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Liquid vs FUT Esports,Split,Team Liquid,13,6,7,0,FUT Esports,9,3,6,0,48:29
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Lotus,Sentinels,11,6,5,0,LOUD,13,7,6,0,55:13
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,Sunset,BBL Esports,8,3,5,0,GIANTX,13,4,9,0,45:02
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,Corrode,T1,13,8,5,0,ZETA DIVISION,8,4,4,0,1:13:36
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs JDG Esports,Haven,Titan Esports Club,13,8,5,0,JDG Esports,9,5,4,0,48:07
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Haven,Team Heretics,13,10,3,0,Team Liquid,3,1,2,0,49:03
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Lotus,Paper Rex,13,8,5,0,ZETA DIVISION,5,1,4,0,51:07
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,Split,Bilibili Gaming,10,4,6,0,Wolves Esports,13,5,8,0,58:27
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,Lotus,Paper Rex,14,11,1,2,Team Liquid,12,11,1,0,50:06
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,Rex Regum Qeon,13,10,3,0,FNATIC,6,4,2,0,40:03
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,5,3,2,0,FNATIC,13,4,9,0,47:02
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,Lotus,MIBR,13,7,5,1,Mega Minors,15,7,5,3,1:11:32
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Corrode,Sentinels,13,7,6,0,Cloud9,10,5,5,0,1:08:19
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Icebox,KOI,9,5,4,0,Natus Vincere,13,6,7,0,50:15
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Bilibili Gaming,14,8,4,2,Team Liquid,16,8,4,4,1:02:14
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Split,Team Vitality,18,4,8,6,FNATIC,16,4,8,4,1:45:23
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,Sunset,GIANTX,13,8,5,0,FNATIC,10,6,4,0,49:43
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,Bind,Trace Esports,11,6,5,0,EDward Gaming,13,7,6,0,54:49
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,FNATIC,6,4,2,0,Gen.G,13,5,8,0,43:47
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Fracture,Paper Rex,13,5,8,0,T1,8,1,7,0,42:18
VCT 2025: Americas Kickoff,Main Event,Upper Final,Sentinels vs G2 Esports,Abyss,Sentinels,7,2,5,0,G2 Esports,13,3,10,0,1:03:27
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,Haven,Rex Regum Qeon,13,8,5,0,Nongshim RedForce,8,4,4,0,44:12
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Ascent,Rex Regum Qeon,5,3,2,0,Team Secret,13,4,9,0,42:14
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Ascent,TALON,13,8,5,0,Nongshim RedForce,9,5,4,0,54:00
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,Lotus,Wolves Esports,12,5,7,0,Xi Lai Gaming,14,5,7,2,59:29
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Ascent,FNATIC,12,4,8,0,Mega Minors,14,4,8,2,1:05:02
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Icebox,MIBR,13,9,4,0,100 Thieves,10,7,3,0,59:01
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Haven,Gentle Mates,4,4,0,0,GIANTX,13,5,8,0,37:00
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,Haven,Bilibili Gaming,13,9,4,0,EDward Gaming,8,5,3,0,47:19
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Sunset,Sentinels,11,7,4,0,Paper Rex,13,8,5,0,56:21
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Gen.G vs DetonatioN FocusMe,Lotus,Gen.G,13,10,3,0,DetonatioN FocusMe,2,0,2,0,49:13
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,FNATIC,13,8,5,0,BBL Esports,8,4,4,0,1:02:29
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,10,6,4,0,DRX,13,7,6,0,51:28
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,Bind,100 Thieves,13,9,4,0,Evil Geniuses,4,1,3,0,49:08
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,Team Heretics,5,1,4,0,BBL Esports,13,2,11,0,42:33
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Haven,FUT Esports,6,5,1,0,Team Heretics,13,6,7,0,43:48
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,Icebox,TALON,13,8,5,0,ZETA DIVISION,5,1,4,0,55:59
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Paper Rex,6,6,0,0,Rex Regum Qeon,13,7,6,0,42:39
VCT 2025: China Stage 2,Group Stage,Week 4,TYLOO vs JDG Esports,Haven,TYLOO,7,5,2,0,JDG Esports,13,6,7,0,1:00:37
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Lotus,DetonatioN FocusMe,7,2,5,0,Paper Rex,13,3,10,0,41:22
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Lotus,KRÜ Esports,4,2,2,0,Evil Geniuses,13,3,10,0,53:00
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,Haven,G2 Esports,13,10,3,0,Evil Geniuses,4,2,2,0,39:40
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Natus Vincere,13,9,4,0,Apeks,3,0,3,0,37:03
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,Team Heretics,13,9,4,0,BBL Esports,9,6,3,0,48:26
VCT 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,Ascent,TALON,5,4,1,0,Rex Regum Qeon,13,5,8,0,42:33
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Fracture,FUT Esports,13,9,4,0,Team Liquid,6,3,3,0,42:06
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Sunset,MIBR,13,3,10,0,DRX,10,1,9,0,47:50
VCT 2025: China Stage 2,Playoffs,Lower Round 1,EDward Gaming vs Trace Esports,Sunset,EDward Gaming,13,5,8,0,Trace Esports,10,3,7,0,50:24
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Sunset,Bilibili Gaming,5,5,0,0,Sentinels,13,6,7,0,39:56
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Ascent,Paper Rex,11,4,7,0,Gen.G,13,5,8,0,53:28
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,Rex Regum Qeon,5,3,2,0,FNATIC,13,4,9,0,41:25
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs ZETA DIVISION,Pearl,Nongshim RedForce,11,7,4,0,ZETA DIVISION,13,8,5,0,59:37
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Ascent,MIBR,9,2,7,0,FURIA,13,3,10,0,45:32
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Abyss,MIBR,13,8,5,0,Rex Regum Qeon,5,1,4,0,39:00
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,Lotus,FUT Esports,5,4,1,0,Team Vitality,13,5,8,0,41:46
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Ascent,KOI,3,2,1,0,Natus Vincere,13,3,10,0,34:43
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Corrode,Gentle Mates,4,3,1,0,Team Vitality,13,4,9,0,35:04
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,Haven,Team Liquid,4,4,0,0,BBL Esports,13,5,8,0,41:51
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,Pearl,Natus Vincere,13,9,4,0,GIANTX,7,4,3,0,49:20
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Icebox,Team Heretics,13,10,3,0,Team Liquid,2,0,2,0,33:50
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Split,Nongshim RedForce,13,9,4,0,Team Secret,3,0,3,0,40:07
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Icebox,Nova Esports,3,3,0,0,TYLOO,13,4,9,0,35:59
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Fracture,Titan Esports Club,12,5,7,0,Dragon Ranger Gaming,14,5,7,2,1:03:36
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Pearl,Mega Minors,13,10,3,0,FURIA,2,0,2,0,38:07
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Split,MIBR,13,7,6,0,FURIA,8,3,5,0,44:36
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,FNATIC,8,6,2,0,DRX,13,7,6,0,49:01
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Lotus,Team Heretics,3,3,0,0,GIANTX,13,4,9,0,35:56
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,Bind,MIBR,10,4,6,0,Mega Minors,13,5,8,0,55:22
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,Ascent,Rex Regum Qeon,7,5,2,0,DRX,13,6,7,0,45:36
VCT 2025: China Stage 2,Group Stage,Week 1,EDward Gaming vs Titan Esports Club,Sunset,EDward Gaming,13,9,4,0,Titan Esports Club,9,6,3,0,58:14
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Lotus,Team Heretics,9,5,4,0,Wolves Esports,13,6,7,0,50:35
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Pearl,FUT Esports,13,9,4,0,Team Liquid,7,4,3,0,56:58
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Lotus,DRX,6,5,1,0,T1,13,6,7,0,42:03
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Lotus,Cloud9,13,6,7,0,MIBR,7,1,6,0,55:57
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,Bind,LOUD,7,5,2,0,100 Thieves,13,6,7,0,47:13
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Bind,Sentinels,8,5,3,0,G2 Esports,13,6,7,0,1:00:32
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Lotus,Team Liquid,14,6,6,2,Karmine Corp,12,6,6,0,56:21
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Ascent,Bilibili Gaming,13,8,5,0,Wolves Esports,4,0,4,0,36:21
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Rex Regum Qeon,11,4,7,0,Wolves Esports,13,5,8,0,57:07
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,Pearl,KOI,6,5,1,0,BBL Esports,13,6,7,0,1:05:11
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Split,Rex Regum Qeon,13,7,6,0,ZETA DIVISION,6,1,5,0,50:17
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,Haven,Gen.G,13,8,5,0,Global Esports,5,1,4,0,49:24
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,Icebox,Bilibili Gaming,5,2,3,0,JDG Esports,13,3,10,0,40:37
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Icebox,MIBR,13,9,4,0,FURIA,3,0,3,0,49:18
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Fracture,100 Thieves,13,8,5,0,Mega Minors,5,1,4,0,55:46
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,EDward Gaming,13,6,7,0,T1,11,5,6,0,1:01:00
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Haven,T1,13,5,7,1,DRX,15,5,7,3,59:21
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,Sunset,FUT Esports,11,4,7,0,GIANTX,13,5,8,0,53:30
VCT 2025: China Stage 2,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Lotus,Dragon Ranger Gaming,13,6,7,0,Nova Esports,8,2,6,0,53:18
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,DRX,11,6,5,0,Team Vitality,13,7,6,0,57:01
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Bind,Paper Rex,9,7,2,0,Team Heretics,13,8,5,0,51:39
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Lotus,Team Vitality,13,10,3,0,GIANTX,2,0,2,0,34:00
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Haven,Gen.G,15,5,7,3,BOOM Esports,17,5,7,5,1:12:35
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,Split,Nova Esports,9,7,2,0,Trace Esports,13,8,5,0,1:03:23
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Split,G2 Esports,13,8,4,1,T1,15,8,4,3,1:04:07
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Lotus,G2 Esports,13,6,7,0,Dragon Ranger Gaming,7,1,6,0,45:05
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Haven,KOI,4,4,0,0,Karmine Corp,13,5,8,0,39:57
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,Corrode,TALON,13,9,4,0,T1,10,7,3,0,58:28
VCT 2025: China Stage 2,Group Stage,Week 4,Bilibili Gaming vs EDward Gaming,Sunset,Bilibili Gaming,15,4,8,3,EDward Gaming,13,4,8,1,1:06:37
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Haven,DRX,14,5,7,2,BOOM Esports,12,5,7,0,52:51
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Split,MIBR,10,7,3,0,G2 Esports,13,8,5,0,56:00
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Bind,Team Liquid,13,11,2,0,Sentinels,1,0,1,0,30:20
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Abyss,G2 Esports,9,5,4,0,Sentinels,13,6,7,0,47:58
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,G2 Esports,13,7,6,0,Mega Minors,8,3,5,0,45:34
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Global Esports,Haven,Rex Regum Qeon,5,3,2,0,Global Esports,13,4,9,0,1:13:03
VCT 2025: China Stage 2,Group Stage,Week 4,Trace Esports vs Titan Esports Club,Haven,Trace Esports,7,3,4,0,Titan Esports Club,13,4,9,0,46:27
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,100 Thieves vs NRG,Pearl,100 Thieves,9,5,4,0,Mega Minors,13,6,7,0,57:20
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Lotus,Apeks,11,7,4,0,Karmine Corp,13,8,5,0,52:28
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,Corrode,BOOM Esports,2,1,1,0,DetonatioN FocusMe,13,2,11,0,34:05
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,G2 Esports vs FNATIC,Split,G2 Esports,10,7,3,0,FNATIC,13,8,5,0,56:54
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,Lotus,Gentle Mates,12,5,7,0,BBL Esports,14,5,7,2,1:11:51
VCT 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,Ascent,BBL Esports,25,7,5,13,FUT Esports,23,7,5,11,2:05:00
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Haven,Dragon Ranger Gaming,13,5,8,0,TYLOO,10,3,7,0,1:04:51
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Lotus,G2 Esports,13,6,7,0,Team Liquid,7,1,6,0,46:11
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Lotus,Xi Lai Gaming,13,9,4,0,Sentinels,11,8,3,0,59:42
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Corrode,Mega Minors,13,10,3,0,Cloud9,2,0,2,0,35:19
VCT 2025: China Stage 2,Group Stage,Week 2,Dragon Ranger Gaming vs All Gamers,Corrode,Dragon Ranger Gaming,13,9,4,0,All Gamers,7,4,3,0,44:21
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,Fracture,Natus Vincere,9,6,3,0,GIANTX,13,7,6,0,57:45
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Lotus,Karmine Corp,8,5,3,0,GIANTX,13,6,7,0,44:40
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,Split,MIBR,13,8,5,0,KRÜ Esports,11,7,4,0,56:34
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Ascent,Gentle Mates,10,8,2,0,Team Vitality,13,9,4,0,47:56
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,Abyss,Global Esports,8,2,6,0,DetonatioN FocusMe,13,3,10,0,50:07
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Bind,T1,4,3,1,0,TALON,13,4,9,0,34:07
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Fracture,DRX,13,8,5,0,T1,9,5,4,0,49:54
VCT 2025: Pacific Stage 2,Group Stage,Week 1,ZETA DIVISION vs DetonatioN FocusMe,Lotus,ZETA DIVISION,13,11,2,0,DetonatioN FocusMe,1,0,1,0,32:32
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Bind,FNATIC,10,7,3,0,Paper Rex,13,8,5,0,52:35
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,Lotus,G2 Esports,13,8,5,0,Cloud9,9,5,4,0,49:26
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Lotus,FNATIC,10,5,5,0,Karmine Corp,13,6,7,0,59:44
VCT 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,Lotus,KOI,2,2,0,0,Karmine Corp,13,3,10,0,50:34
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,FNATIC,13,10,3,0,Team Heretics,9,7,2,0,53:25
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Icebox,100 Thieves,13,3,10,0,LOUD,11,2,9,0,55:05
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Pearl,FURIA,5,4,1,0,LEVIATÁN,13,5,8,0,42:06
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,Fracture,T1,13,5,8,0,DRX,11,4,7,0,1:04:03
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Haven,Team Vitality,13,8,5,0,Karmine Corp,5,1,4,0,50:28
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Split,Dragon Ranger Gaming,9,6,3,0,TYLOO,13,7,6,0,50:06
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Lotus,Wolves Esports,11,8,3,0,Bilibili Gaming,13,9,4,0,55:22
